2024-09-08T17:14:47Z | debug | node-management/client.codegen.go:303 | github.com/progress-platform-services/chef-node-management-server/public/client/node-management.getLogger | Found logger in injector | {"beginTime": "2024-09-08T17:14:47Z", "beginTimeNano": "2024-09-08T17:14:47.988184977Z", "endTime": "2024-09-08T17:14:47Z", "endTimeNano": "2024-09-08T17:14:47.988186857Z", "timeSpent": "1.88µs", "timeSpentMilliseconds": 0}
2024-09-08T17:14:48Z | debug | pagent/agent.go:120 | github.com/progress-platform-services/platform-common/pweb/pagent.NewAgent[...] | Exiting NewAgent | {"beginTime": "2024-09-08T17:14:47Z", "beginTimeNano": "2024-09-08T17:14:47.988184977Z", "endTime": "2024-09-08T17:14:48Z", "endTimeNano": "2024-09-08T17:14:48.049319617Z", "timeSpent": "61.13464ms", "timeSpentMilliseconds": 61}
2024-09-08T17:14:48Z | info | node-management/client.codegen.go:250 | github.com/progress-platform-services/chef-node-management-server/public/client/node-management.getAgentWithVerifyResp | Exiting getAgentWithVerifyResp | {"beginTime": "2024-09-08T17:14:47Z", "beginTimeNano": "2024-09-08T17:14:47.988184977Z", "endTime": "2024-09-08T17:14:48Z", "endTimeNano": "2024-09-08T17:14:48.04933574Z", "timeSpent": "61.150763ms", "timeSpentMilliseconds": 61}
2024-09-08T17:14:48Z | debug | node-management/client.codegen.go:251 | github.com/progress-platform-services/chef-node-management-server/public/client/node-management.getAgentWithVerifyResp | Exiting getAgentWithVerifyResp | {"beginTime": "2024-09-08T17:14:47Z", "beginTimeNano": "2024-09-08T17:14:47.988184977Z", "endTime": "2024-09-08T17:14:48Z", "endTimeNano": "2024-09-08T17:14:48.049388808Z", "timeSpent": "61.203831ms", "timeSpentMilliseconds": 61, "verifyResp": true}
2024-09-08T17:14:48Z | debug | node-management/client.codegen.go:117 | github.com/progress-platform-services/chef-node-management-server/public/client/node-management.NewChefNodeManagementApiClient | Response verification set to true | {"beginTime": "2024-09-08T17:14:47Z", "beginTimeNano": "2024-09-08T17:14:47.988184977Z", "endTime": "2024-09-08T17:14:48Z", "endTimeNano": "2024-09-08T17:14:48.049413906Z", "timeSpent": "61.228929ms", "timeSpentMilliseconds": 61}
2024-09-08T17:14:48Z | info | node-management/client.codegen.go:142 | github.com/progress-platform-services/chef-node-management-server/public/client/node-management.NewChefNodeManagementApiClient | Exiting client | {"beginTime": "2024-09-08T17:14:47Z", "beginTimeNano": "2024-09-08T17:14:47.988184977Z", "endTime": "2024-09-08T17:14:48Z", "endTimeNano": "2024-09-08T17:14:48.049567056Z", "timeSpent": "61.382079ms", "timeSpentMilliseconds": 61}
2024-09-08T17:14:48Z | info | filter/filter.codegen.go:256 | github.com/progress-platform-services/chef-node-management-server/public/client/node-management/filter.(*FilterClientImpl).FiltersRunAdhocFilter | Entered FiltersRunAdhocFilter method | {"beginTime": "2024-09-08T17:14:47Z", "beginTimeNano": "2024-09-08T17:14:47.988184977Z", "endTime": "2024-09-08T17:14:48Z", "endTimeNano": "2024-09-08T17:14:48.04959834Z", "timeSpent": "61.413363ms", "timeSpentMilliseconds": 61}
2024-09-08T17:14:48Z | debug | filter/filter.codegen.go:257 | github.com/progress-platform-services/chef-node-management-server/public/client/node-management/filter.(*FilterClientImpl).FiltersRunAdhocFilter | Entered FiltersRunAdhocFilter method | {"beginTime": "2024-09-08T17:14:47Z", "beginTimeNano": "2024-09-08T17:14:47.988184977Z", "endTime": "2024-09-08T17:14:48Z", "endTimeNano": "2024-09-08T17:14:48.049652932Z", "timeSpent": "61.467955ms", "timeSpentMilliseconds": 61, "reqArgs": null}
2024-09-08T17:14:48Z | debug | pagent/agent.go:129 | github.com/progress-platform-services/platform-common/pweb/pagent.Agent[...].NewRequest | Inside NewRequest function of agent | {"beginTime": "2024-09-08T17:14:47Z", "beginTimeNano": "2024-09-08T17:14:47.988184977Z", "endTime": "2024-09-08T17:14:48Z", "endTimeNano": "2024-09-08T17:14:48.049999137Z", "timeSpent": "61.81416ms", "timeSpentMilliseconds": 61, "path": "/node/management/v1/filters/exec"}
2024-09-08T17:14:48Z | debug | pagent/agent.go:132 | github.com/progress-platform-services/platform-common/pweb/pagent.Agent[...].NewRequest | Exiting NewRequest function of agent | {"beginTime": "2024-09-08T17:14:47Z", "beginTimeNano": "2024-09-08T17:14:47.988184977Z", "endTime": "2024-09-08T17:14:48Z", "endTimeNano": "2024-09-08T17:14:48.050081962Z", "timeSpent": "61.896985ms", "timeSpentMilliseconds": 61, "path": "/node/management/v1/filters/exec"}
2024-09-08T17:14:48Z | debug | pagent/agent.go:190 | github.com/progress-platform-services/platform-common/pweb/pagent.(*Agent[...]).doWithRetry | Inside doWithRetry function of agent | {"beginTime": "2024-09-08T17:14:47Z", "beginTimeNano": "2024-09-08T17:14:47.988184977Z", "endTime": "2024-09-08T17:14:48Z", "endTimeNano": "2024-09-08T17:14:48.050296555Z", "timeSpent": "62.111578ms", "timeSpentMilliseconds": 62}
2024-09-08T17:14:48Z | debug | pagent/agent.go:258 | github.com/progress-platform-services/platform-common/pweb/pagent.(*Agent[...]).do | Inside do function of agent | {"beginTime": "2024-09-08T17:14:47Z", "beginTimeNano": "2024-09-08T17:14:47.988184977Z", "endTime": "2024-09-08T17:14:48Z", "endTimeNano": "2024-09-08T17:14:48.05031508Z", "timeSpent": "62.130103ms", "timeSpentMilliseconds": 62}
2024-09-08T17:14:48Z | debug | plugins/request_accesskey.go:91 | github.com/progress-platform-services/platform-common/pweb/pagent/plugins.(*Keys).Before | Inside Before function of Request Accesskey plugin | {"beginTime": "2024-09-08T17:14:47Z", "beginTimeNano": "2024-09-08T17:14:47.988184977Z", "endTime": "2024-09-08T17:14:48Z", "endTimeNano": "2024-09-08T17:14:48.05032897Z", "timeSpent": "62.143993ms", "timeSpentMilliseconds": 62}
2024-09-08T17:14:48Z | debug | plugins/request_accesskey.go:441 | github.com/progress-platform-services/platform-common/pweb/pagent/plugins.decodeJwt | Inside decodeJwt function | {"beginTime": "2024-09-08T17:14:47Z", "beginTimeNano": "2024-09-08T17:14:47.988184977Z", "endTime": "2024-09-08T17:14:48Z", "endTimeNano": "2024-09-08T17:14:48.050524852Z", "timeSpent": "62.339875ms", "timeSpentMilliseconds": 62}
2024-09-08T17:14:48Z | debug | plugins/request_accesskey.go:458 | github.com/progress-platform-services/platform-common/pweb/pagent/plugins.profileClaimVerified | Inside profileClaimVerified function | {"beginTime": "2024-09-08T17:14:47Z", "beginTimeNano": "2024-09-08T17:14:47.988184977Z", "endTime": "2024-09-08T17:14:48Z", "endTimeNano": "2024-09-08T17:14:48.050587303Z", "timeSpent": "62.402326ms", "timeSpentMilliseconds": 62}
2024-09-08T17:14:48Z | debug | plugins/request_accesskey.go:469 | github.com/progress-platform-services/platform-common/pweb/pagent/plugins.profileClaimVerified | Profile claims are valid, skipping login | {"beginTime": "2024-09-08T17:14:47Z", "beginTimeNano": "2024-09-08T17:14:47.988184977Z", "endTime": "2024-09-08T17:14:48Z", "endTimeNano": "2024-09-08T17:14:48.050601344Z", "timeSpent": "62.416367ms", "timeSpentMilliseconds": 62}
2024-09-08T17:14:48Z | debug | plugins/plugin_utils.go:42 | github.com/progress-platform-services/platform-common/pweb/pagent/plugins.isTokenExpiring | Inside isTokenExpiring function | {"beginTime": "2024-09-08T17:14:47Z", "beginTimeNano": "2024-09-08T17:14:47.988184977Z", "endTime": "2024-09-08T17:14:48Z", "endTimeNano": "2024-09-08T17:14:48.050624586Z", "timeSpent": "62.439609ms", "timeSpentMilliseconds": 62}
2024-09-08T17:14:48Z | debug | plugins/plugin_utils.go:45 | github.com/progress-platform-services/platform-common/pweb/pagent/plugins.isTokenExpiring | Exiting isTokenExpiring function | {"beginTime": "2024-09-08T17:14:47Z", "beginTimeNano": "2024-09-08T17:14:47.988184977Z", "endTime": "2024-09-08T17:14:48Z", "endTimeNano": "2024-09-08T17:14:48.050638021Z", "timeSpent": "62.453044ms", "timeSpentMilliseconds": 62}
2024-09-08T17:14:48Z | debug | plugins/request_logger.go:17 | github.com/progress-platform-services/platform-common/pweb/pagent/plugins.(*RequestLogger).Before | Inside Before function of RequestLogger | {"beginTime": "2024-09-08T17:14:47Z", "beginTimeNano": "2024-09-08T17:14:47.988184977Z", "endTime": "2024-09-08T17:14:48Z", "endTimeNano": "2024-09-08T17:14:48.050659322Z", "timeSpent": "62.474345ms", "timeSpentMilliseconds": 62}
